,bh_cagrs,bh_lens,sma_cagrs,sma_lens,sma_num_trades 
0,10.521976796747378,3298,11.525810553098026,254,2
1,7.9135437602439795,9895,-1.3299126904667946,1643,12
2,-14.42834549982287,272,6.584326795952378,792,4
3,12.900054079019618,958,0.0,304,0
4,11.250859812522695,2253,5.993096807465026,659,4
5,8.56187142546927,1426,1.613590523273345,1538,10
6,24.944814008639838,1219,0.3875249163427741,1652,12
7,9.647968886252546,5316,1.627282635256977,1654,8
8,14.515345329103347,3155,2.324676210692278,473,2
9,37.49272650284916,776,0.24208679059791738,499,2
10,9.445290732323652,215,18.127632069694233,898,2
11,5.951215610580585,2941,3.758894113183331,230,2
12,-11.797640721935743,739,-7.611069523753333,210,4
13,6.7078825977290535,208,-8.425038327204437,465,2
14,6.282804837099132,780,45.506557355434516,889,2
15,8.475246296986082,4377,79.65018613707645,412,4
16,10.432288580345105,4581,6.421100494948706,232,2
17,6.837350921535679,1908,9.344343336023964,1957,12
18,9.528125433866364,6839,5.0155644501941765,2580,12
19,-8.450319023979336,435,10.722430129052318,2855,10
20,27.493169841026276,1029,3.811420091134954,6595,36
21,4.185046199141307,5791,68.69391938039963,699,4
22,9.190684898030877,6967,-6.737259413622587,647,8
23,4.95509057421244,2722,3.096007420387381,5832,34
24,-44.69374488237585,413,12.398473313845049,2053,10
25,21.120688801107,1141,4.026093316756074,8545,46
26,-23.329626706784534,401,-9.423812424956669,323,6
27,8.346999194587944,3923,7.839654283303887,2907,12
28,12.048031991499197,545,6.853513147683565,5248,26
29,-2.5632476452290276,223,8.323898148270192,1306,4
30,49.720367004859554,615,7.146895181980928,4619,18
31,17.86222184552042,1843,6.042658741332962,3331,20
32,9.443855702519976,4030,-6.219697585786809,258,2
33,7.217277678069944,4236,6.10231730747588,377,2
34,0.7756486923838235,316,2.688931190994559,4874,26
35,34.18818456397668,244,19.821997015133675,2199,10
36,11.767422234755308,4832,5.211102041271665,2492,16
37,14.322915972371364,783,-1.1906292975387256,829,8
38,19.92767917536158,461,10.402789745682007,674,4
39,9.162555212744984,8206,-1.89832737097394,2193,14
40,23.238987049807935,1407,-18.784768392100204,368,4
41,5.636230939971365,3457,-9.648204664563998,524,4
42,-0.3816629003266958,1801,2.733549079018416,4092,26
43,5.791307630548026,4155,-2.373455253434742,314,2
44,6.353774395531708,6653,10.522028020663887,4223,18
45,36.95891809589911,2590,33.48459700122357,308,2
46,8.114384072308201,2830,7.247667075736541,1914,8
47,9.327648375713427,2782,8.220937789331861,4624,20
48,-15.344597613633093,325,-10.63124432789213,355,4
49,-26.751422216634925,376,-7.008992582119211,1092,10
50,-6.818095688674597,230,11.234835741078463,665,4
51,14.84382171747387,345,6.608679444376464,2099,10
52,2.6524087093843685,4004,13.705860825224647,1774,6
53,17.181191496314895,1046,1.067774486956341,1267,8
54,9.962255851565294,369,4.710255599292967,6639,32
55,9.696442735030075,735,-5.193521412289559,321,4
56,20.41381171103143,539,-5.772850616478886,271,2
57,15.609629930019198,675,-5.506774442534823,460,4
58,3.5179384811233616,264,4.164191989455879,14513,70
59,-1.4041336926630898,1460,10.588279384891152,1689,10
60,6.7967273179491805,7740,-10.85951899433033,346,4
61,5.255080709290327,4199,11.05398664313455,2381,12
62,9.775639201777286,9743,5.7105254397983085,7924,44
63,18.395669664825,455,43.89077869838718,242,2
64,21.739654281975483,571,3.075833761436453,1096,8
65,6.013644715648758,863,-0.1816543011380234,1731,14
66,17.86029820391617,360,5.939974594305242,8225,30
67,1.5653042603603007,4012,-0.36394518267571785,2259,10
68,-23.366159644009965,264,-7.813127547829291,228,2
69,12.634526175845263,471,2.286618063443213,5064,24
70,52.38869029186321,958,-12.565936726185933,200,4
71,24.0967752490471,225,-10.31652419984368,615,4
72,10.958593482392365,2222,-1.8330791662159007,202,4
73,5.434811770201287,1447,12.187145619724138,1308,2
74,4.588462405289029,2631,-6.363913464072823,436,4
75,21.846472353670855,200,8.7614793625451,292,2
76,11.591470505105118,7723,0.0,265,0
77,6.018597326119446,204,34.36140061435036,373,2
78,18.281798516790793,1026,-0.6307545568292938,1845,10
79,-11.405054952275396,488,15.174628276161272,418,4
80,-3.541946754405634,1266,5.465225839772914,6479,28
81,-6.708960456403212,343,6.45643865579113,770,4
82,7.1710523145370075,421,14.285422575274055,1295,8
83,10.954997584205351,4292,7.598928115601966,381,2
84,-4.610022881394804,5540,5.310952542566882,11383,58
85,7.603655371099038,6149,7.585325081339445,1193,8
86,14.193236112418894,319,-1.149064737590233,703,4
87,-5.7143891601189605,5615,3.0265308240751576,717,6
88,18.67556612187744,273,7.249321763088679,5407,24
89,24.367882524307905,4678,3.490950517080438,2531,16
90,8.824018628406694,8355,7.084441518363427,2104,14
91,4.829583817126126,1054,9.518211575918901,2837,10
92,5.077645826432087,736,-16.21472992475542,703,6
93,5.0497421483429505,201,10.236511603329124,1098,6
94,-12.328921533927439,315,1.107616258270716,1227,10
95,50.59442059420371,277,4.174271737586022,229,2
96,-6.9634120924533915,621,8.75827083207894,2185,14
97,5.3842332222424405,661,8.873043567911655,4213,22
98,14.618325353812756,1374,15.090454823442645,631,2
99,7.364791738725085,3259,11.29945921825648,2487,8
100,-21.18508219923806,517,9.7784975559561,3121,12
101,19.244885069604866,2377,17.714731080325443,1202,10
102,12.78510547576186,1599,6.924446763961356,1961,10
103,9.935319295566213,1628,13.099402836775532,4375,24
104,7.3534805312504,594,0.056596807787423487,811,8
105,14.268779306682667,1101,4.876553147432872,774,4
106,10.253412834684816,1000,11.782503108349228,8390,36
107,-1.0705694913139996,1871,4.5019256437564215,648,6
108,9.014059208950265,1083,15.719959021007934,202,2
109,8.277426220472272,8834,5.782409949657619,11061,54
110,14.945102250769482,1740,4.798848685240786,1995,16
111,3.442764876409554,3080,7.992971824552919,1146,6
112,6.434029873342917,517,13.652226577844417,1114,4
113,3.6270952563814074,1199,9.11000726465181,314,4
114,-2.8193939215759856,401,14.68465641852883,1112,6
115,9.2402132191161,1544,14.484620604378208,1539,4
116,30.95712900694889,636,20.572537065736253,539,6
117,1.0472337850061741,1115,-2.0483403187297577,1001,10
118,47.82482474885812,306,5.8919696043707726,2071,10
119,-6.222441205296425,389,0.825605521296291,506,4
120,7.579413493686893,862,13.724769074942644,3578,22
121,4.78402126809947,391,4.532707216985488,649,6
122,6.178382643393432,708,4.350174632239678,5499,28
123,28.92659342445716,775,9.393690802489774,218,2
124,-12.158700610991602,243,-9.386758096087899,477,4
125,37.21048321681326,416,7.090119164414133,209,2
126,-5.946624517535404,437,4.485213381059006,898,4
127,45.35987725292334,205,4.374312693539606,6565,34
128,4.688939505009393,3238,9.515820220571868,873,6
129,9.086421534520683,11392,4.388994909410648,2664,12
130,17.460599692537105,1404,5.538690838731086,680,4
131,9.008772530545173,435,-3.3084108797054146,465,4
132,17.842437997155702,1373,44.27746133448236,1184,4
133,5.903693934148979,230,2.9391289387871833,1217,8
134,-20.30252578494367,1082,25.182463975809142,751,4
135,11.048377608768778,4028,5.470517299284849,4445,28
136,10.75705039315844,745,4.050732944097146,7457,38
137,7.991591405688725,3932,2.801474196100573,4357,26
138,9.707629268292294,1914,-3.2283224701166735,1424,10
139,8.106223900981346,1983,1.0051380961810796,1879,16
140,27.777504536031717,419,9.281339093541563,2838,20
141,31.487145559518858,405,9.824747264059507,1375,8
142,9.55283215965219,3459,-5.184876186190301,459,6
143,7.130273056661673,476,6.181942834190557,4544,26
144,-8.307997728296822,433,6.298548500173484,967,12
145,11.236752347458467,2017,1.9011550270578326,1110,6
146,-9.184875357216772,1535,9.948741186080422,2711,12
147,8.861779978155294,2442,1.3606308909334341,3598,22
148,7.858757721561349,4537,19.931632575492042,1023,6
149,10.363616520916663,2181,4.081010041837296,3358,14
150,11.912001907091717,5458,0.3668937091685587,203,2
151,6.2880856973319466,6386,12.60101102630189,1048,8
152,9.627456402904144,3360,-1.443566096830784,511,4
153,23.823308345831684,1002,6.891333845126524,487,4
154,8.648618695912358,2550,35.738289818919846,314,2
155,19.29536600778721,407,7.566157728016343,265,2
156,13.257533827743927,6844,-0.2882542135435262,623,6
157,6.794956068335556,1551,7.57645494453234,5019,24
158,33.4037760268197,707,6.1816464021724915,7523,32
159,9.445363860625267,6575,21.74536902691393,332,2
160,29.293207780868833,235,2.4546425290241203,418,6
161,15.279307839977175,1542,4.191316722826666,2438,12
162,4.1746341099279105,3731,20.641875763387652,983,4
163,7.026970787197229,1536,2.9812892347841125,324,2
164,14.678192443446925,2702,-3.3008400918264957,2475,22
165,6.68106423629955,861,4.725837093443785,7792,36
166,5.0325312016596735,599,3.5707866099588426,2186,10
167,16.150858848876084,921,4.532047205194267,6483,28
168,10.67766227606386,5755,4.6995650548114165,583,4
169,-8.933166674189808,3906,0.0,255,0
170,9.829802484053808,1080,4.815674112045243,8280,38
171,12.7292036842084,655,9.277023719967126,5665,30
172,-25.30390045868296,294,-5.488765609599666,1288,8
173,12.735171756731113,803,4.01076859801337,7288,36
174,16.297786689603868,989,9.031227755960437,1205,8
175,47.49098113762573,541,3.9355705618344228,2965,12
176,6.614340357866588,2170,11.208081241615275,1230,2
177,8.350245045176097,5997,4.960706652335967,1848,10
178,17.7546101873423,272,10.979402726825649,269,4
179,0.19698227998514728,635,14.130798547384927,982,4
180,5.5105063076900995,1204,10.107534342417734,270,2
181,31.348338051910506,446,-8.917126207919758,368,2
182,1.7996260225859873,2431,2.7170461278984925,2134,12
183,13.01701226705212,228,15.619788517740108,3268,10
184,12.528704940459479,998,15.970285816247198,802,4
185,14.037411159834612,1448,-2.669996636661076,769,6
186,21.84993618100435,203,-5.869033142855451,542,6
187,8.155417768401318,4895,-4.997521226331713,1211,8
188,8.365406409447251,4794,8.197370274564463,4036,20
189,17.148639396799183,829,2.72852923996465,391,4
190,5.066109900261551,1566,6.732511061936175,385,4
191,6.284412231032643,1643,4.317093175729636,5885,30
192,-3.793026235018526,713,-1.6910167158264322,1483,10
193,54.86088711444302,474,13.174472106787016,1278,6
194,26.309582691851354,2139,43.56090201220901,389,2
195,-0.43309732304748216,1153,3.159748810569729,5978,40
196,14.1090980064277,2992,10.441980399557526,5766,24
197,8.98894560118988,7809,6.156889897586182,2697,12
198,6.895678963420138,3095,0.7157321892952373,4320,36
199,-4.250441299289021,443,5.139939513724934,4417,26
